P P 7415150   2009   12   12   31.50
G D 7586760   2009    1    1   57.00
R D 4349970   2008    9   15   21.15
H C 7560250   2008   10   16   25.34
J T 7588850   2010    3   16   51.00
D E 6616760   2009    1   22    0.00
L W 4795331   2009    8   21    1.45
T P 7580350   2008   12   31  351.45
C G 6223460   2009   11   26    0.00
Y M 7548490   2010    2    9   86.30
P M 7589050   2008   11   30  181.60
W C 4144507   2008    9   10    0.25
R J 8760050   2008   10   26   85.94
R A 7587603   2010   12    7    0.00
M J 7521070   2008   12    2   67.80 
E C 7577771   2009    1   10  159.84
R B 7583450   2008   11   28  599.45
R S 7712507   2008    9    4   84.83
